value,label
1,banks_sts
2,caudal_acc
3,caudal_middle_frontal
4,cuneus
5,entorhinal
6,frontal_operculum
7,frontal_pole
8,fusiform
9,fusiform_occipital
10,inferior_parietal
11,inferior_temporal
12,insula
13,isthmus
14,lateral_occipital
15,lateral_ofc
16,lingual
17,medial_frontal
18,medial_ofc
19,medial_precentral
20,middle_frontal
21,middle_occipital
22,middle_temporal
23,occipital_pole
24,orbital_inferior_frontal
25,paracentral
26,parahippocampal
27,parietal_operculum
28,pars_opercularis
29,pars_orbitalis
30,pars_triangularis
31,pericalcarine
32,planum_temporale
33,postcentral
34,posterior_cingulate
35,posterior_insula
36,posterior_ofc
37,precentral
38,precuneus
39,rostral_acc
40,rostral_middle_frontal
41,SFG
42,SMG
43,STG
44,subcallosal
45,superior_frontal
46,superior_occipital
47,superior_parietal
48,superior_temporal
49,supplementary_motor
50,supramarginal
51,temporal_pole
52,transverse
53,unknown
54,unsegmented
